kab_kota,Melahirkan Tidak di Faskes,Kemiskinan,Konsumsi Protein,Pangan Hewani,RLS,faktor_dominan
Aceh Barat,0.17779212383899437,0.2515658026971871,0.18204795146441596,0.18753915918159217,0.20105496281781024,Kemiskinan
Aceh Besar,0.18551033505159037,0.2446323721034292,0.18371930916050772,0.19071335104556614,0.19542463263890644,Kemiskinan
Aceh Jaya,0.18014495625710691,0.2642265779091903,0.17637586953526224,0.1835758364170411,0.19567675988139932,Kemiskinan
Aceh Selatan,0.18167665986064724,0.22653915275537365,0.19538206443976422,0.19649768512937318,0.19990443781484155,Kemiskinan
Aceh Singkil,0.18322489674987533,0.22975330694549742,0.18378060445316088,0.20561701205874341,0.19762417979272273,Kemiskinan
Aceh Tamiang,0.18818816454242177,0.24435870923750125,0.17998716577703086,0.1857932577632733,0.20167270267977264,Kemiskinan
Aceh Tengah,0.1706539114463596,0.2567927964567496,0.18788929371237403,0.195385745068012,0.1892782533165046,Kemiskinan
Aceh Tenggara,0.18396583852526066,0.23591944928915184,0.18361698378600966,0.19244822532082595,0.20404950307875172,Kemiskinan
Aceh Timur,0.19175024543577648,0.24871471287594538,0.17220017550804267,0.1817630840200578,0.20557178216017746,Kemiskinan
Aceh Utara,0.18338462344578443,0.2500040812996112,0.17756975714060808,0.18912409454399767,0.19991744356999847,Kemiskinan
Agam,0.1869664268223293,0.20621723556368907,0.16923441102807726,0.21385163180550545,0.22373029478039877,RLS
Alor,0.1141482814217246,0.2136478348797225,0.1404559938452339,0.3051784893749143,0.2265694004784045,Pangan Hewani
Asahan,0.16346859438314928,0.2209022555983008,0.19432711220924398,0.21110343469911827,0.2101986031101875,Kemiskinan
Badung,0.17341118390233148,0.24783758220772711,0.2003193905347206,0.18533309276572585,0.19309875058949486,Kemiskinan
Balangan,0.1844587884416433,0.2095062351702082,0.2036942851373745,0.21102906196216675,0.19131162928860712,Pangan Hewani
Bandung,0.19572906100732534,0.18972644900362137,0.19020967114214787,0.20977632885940475,0.21455848998750046,RLS
Bandung Barat,0.19008957157158365,0.1864856517324203,0.1945438781966564,0.2110409096135916,0.21783998888574788,RLS
Banggai,0.17929589353314837,0.2410975339810875,0.17385989126785978,0.1938660204423721,0.21188066077553205,Kemiskinan
Banggai Kepulauan,0.19399412054014048,0.22378678007484737,0.1942755051143727,0.19224756332907422,0.195696030941565,Kemiskinan
Banggai Laut,0.19062236147036607,0.21316416700150065,0.1936716470599182,0.19190983553106156,0.21063198893715324,Kemiskinan
Bangka,0.17228071265857442,0.17411968372739534,0.22951631280383492,0.18686006019012116,0.23722323062007403,RLS
Bangka Barat,0.18451695236294247,0.17933567865585642,0.22910307335232588,0.18869900692717645,0.2183452887016986,Konsumsi Protein
Bangka Selatan,0.1756922079025275,0.16863120317260158,0.2179062571197218,0.1909467488095781,0.24682358299557094,RLS
Bangka Tengah,0.1784926253253042,0.17097772057920213,0.21740719405837827,0.1859040086130997,0.2472184514240156,RLS
Bangkalan,0.11035276404124023,0.23536332179443833,0.21549760184615063,0.1919834204061882,0.24680289191198237,RLS
Bangli,0.18323769240806168,0.24105039595955396,0.1948893248476586,0.2014434133504505,0.179379173434275,Kemiskinan
Banjar,0.1822177819451513,0.23885459989647545,0.18897771513311015,0.1955814506397282,0.1943684523855347,Kemiskinan
Banjarnegara,0.11471833724123158,0.23224677171777566,0.19872864958044065,0.21199418775048315,0.24231205371006878,RLS
Bantaeng,0.15149777730493177,0.2355944254698334,0.19540961156179917,0.20765491622953333,0.20984326943390214,Kemiskinan
Bantul,0.10749032094321158,0.2311221169036432,0.20020181467826154,0.20282144047303532,0.25836430700184815,RLS
Banyumas,0.15111266871486345,0.2293625398278756,0.18695176226750093,0.20832050066540245,0.2242525285243574,Kemiskinan
Banyuwangi,0.1461616921281817,0.2330734379068907,0.22289933597293768,0.19094714931417336,0.20691838467781637,Kemiskinan
Barito Kuala,0.19558328015807458,0.23576890029743403,0.1871129389678932,0.19386200595858988,0.18767287461800816,Kemiskinan
Barito Selatan,0.17897483159414518,0.2182568075808676,0.2165686139528621,0.20239425101005298,0.18380549586207198,Kemiskinan
Barito Timur,0.18153977670589316,0.21175932970973704,0.22137910402028677,0.19231672918119203,0.19300506038289078,Konsumsi Protein
Barito Utara,0.19295681435645606,0.21748631251830675,0.1985511874506677,0.20470943022442234,0.186296255450147,Kemiskinan
Barru,0.15965826837428815,0.21861339890405634,0.20985437211392707,0.2272299996635873,0.18464396094414093,Pangan Hewani
Batang,0.1096794284099249,0.21973108986186285,0.20790008862913878,0.22522567640069793,0.2374637166983754,RLS
Belitung,0.21706645190377355,0.1991205353032086,0.1697679690069445,0.18215133683537088,0.23189370695070227,RLS
Belitung Timur,0.18903082987078879,0.1956399388715909,0.19592829396632533,0.19582116008570044,0.22357977720559433,RLS
Belu,0.1338368900593432,0.19991762359079057,0.1315978874245337,0.32604835935440185,0.20859923957093054,Pangan Hewani
Bener Meriah,0.18264057795867114,0.24074224023434498,0.1875239352586612,0.19957839950585335,0.18951484704246913,Kemiskinan
Bengkalis,0.1794578792090602,0.19449698663165577,0.1783409438159858,0.2254397890154381,0.22226440132785996,Pangan Hewani
Bengkayang,0.17464332473704583,0.16949209511509922,0.19449888836644028,0.21783752664553283,0.24352816513588177,RLS
Bengkulu Tengah,0.18921624822862115,0.18894724931088466,0.18591720250632793,0.19928479921498285,0.23663450073918313,RLS
Bengkulu Utara,0.186311606378116,0.1916367888109652,0.18226558093549172,0.20003612292270537,0.23974990095272153,RLS
Berau,0.16351072057278968,0.21584734181316878,0.1863268976574495,0.2432604930303795,0.1910545469262124,Pangan Hewani
Bireuen,0.18525008262767975,0.25255421181666454,0.17667191761088152,0.185696737017283,0.19982705092749098,Kemiskinan
Blitar,0.09976931045769093,0.23871051964301848,0.20403541329650962,0.19781651276018863,0.25966824384259213,RLS
Blora,0.11106123750379357,0.22413897020000068,0.21114937675999385,0.19155454566268146,0.2620958698735303,RLS
Boalemo,0.15456198540439325,0.2277604214508414,0.18833281655419457,0.21219561518215044,0.21714916140842017,Kemiskinan
Bojonegoro,0.1237603012364749,0.22954660551041398,0.1941566627533197,0.19903746349737375,0.2534989670024175,RLS
Bolaang Mongondow,0.1930847645195003,0.22013999921152277,0.18469410279216675,0.17931626825626298,0.222764865220547,RLS
Bolaang Mongondow Selatan,0.19062933686649544,0.22575534519154145,0.17213444714024062,0.18280952391232652,0.22867134688939578,RLS
Bolaang Mongondow Utara,0.18200045935079986,0.22251649576931928,0.1928709784120751,0.187006390035698,0.2156056764321075,Kemiskinan
Bombana,0.1688045570267932,0.21736229941366728,0.19514224907668457,0.21729266987897428,0.20139822460388054,Kemiskinan
Bondowoso,0.14089130568031039,0.2360372476685423,0.2184182062610961,0.1823116900661209,0.2223415503239301,Kemiskinan
Bone,0.15239163535658984,0.23138867975543262,0.19754127017998305,0.2181934958719539,0.20048491883604036,Kemiskinan
Bone Bolango,0.1779202654412735,0.22609666874612555,0.18308075607244848,0.1795673769095218,0.23333493283063048,RLS
Brebes,0.15066964698395782,0.21403407497191665,0.20407781584120288,0.20243466211141428,0.22878380009150817,RLS
Buleleng,0.16763551748218355,0.23892664679926204,0.20659890691635033,0.1997697217366696,0.18706920706553432,Kemiskinan
Bulukumba,0.15462164711300247,0.22219881965793295,0.20204707639538919,0.21589700213812923,0.20523545469554602,Kemiskinan
Buol,0.16243043875425436,0.23555601879865382,0.17106827759647186,0.20251622598229677,0.22842903886832294,Kemiskinan
Buru,0.2049076373584814,0.19567349182084792,0.16517375569043055,0.20973837166768206,0.22450674346255792,RLS
Buru Selatan,0.18117338606593858,0.21710586824412004,0.15480980642258116,0.2148097012981006,0.23210123796925947,RLS
Buton,0.1576254130557931,0.22008643075666035,0.16643378313199975,0.2353063941135193,0.2205479789420273,Pangan Hewani
Buton Selatan,0.14621209925855302,0.22231692797514035,0.16300365156057905,0.2734899213640767,0.1949773998416507,Pangan Hewani
Buton Tengah,0.15809791926509775,0.23138199259741615,0.17793071143680061,0.2285758840870153,0.20401349261367008,Kemiskinan
Buton Utara,0.16107739513894048,0.22399396833536844,0.17871789110594216,0.2256941874701916,0.21051655794955715,Pangan Hewani
Cianjur,0.18057848105598895,0.17533730760258318,0.201892122193727,0.21184131531950398,0.23035077382819663,RLS
Cilacap,0.16475731462854215,0.2068051471213997,0.19351045991819948,0.20582687393951907,0.22910020439233936,RLS
Dairi,0.18731860027059807,0.24006449149288608,0.17548951489770834,0.19900171297351182,0.19812568036529557,Kemiskinan
Demak,0.09450219444036984,0.21936122785759682,0.20360015564295453,0.2131247813023854,0.2694116407566932,RLS
Dharmasraya,0.1858847572129393,0.18683460412339545,0.17264969464677404,0.226937788422655,0.22769315559423597,RLS
Dompu,0.1952273010394366,0.32133925053468565,0.15282871590351083,0.17569063700565832,0.15491409551670846,Kemiskinan
Donggala,0.14136001347793184,0.2325824228413039,0.18642156754646905,0.2397473966902527,0.1998885994440424,Pangan Hewani
Empat Lawang,0.18806952791543358,0.18876995668788007,0.20701923254931595,0.1875832892587285,0.2285579935886418,RLS
Ende,0.14154720894176454,0.2706863235167011,0.165518163353342,0.2313722748913975,0.1908760292967947,Kemiskinan
Enrekang,0.15239705585410793,0.21664721025202952,0.1991911323237425,0.22588686977932207,0.20587773179079782,Pangan Hewani
Fak Fak,0.18542307722573445,0.17592657012553578,0.1712814169119907,0.2471339637165906,0.2202349720201483,Pangan Hewani
Flores Timur,0.1447408870006649,0.2304626097923368,0.1527980840539716,0.27101242532933645,0.20098599382369015,Pangan Hewani
Garut,0.16965795591420468,0.1810123533958007,0.20131976665667073,0.21740992313992885,0.23060000089339486,RLS
Gayo Lues,0.17285293130817375,0.2575669417804039,0.17492277759662211,0.192700112074142,0.20195723724065806,Kemiskinan
Gianyar,0.17978644571351063,0.24346282058934396,0.19904165673898824,0.2024973538637518,0.17521172309440514,Kemiskinan
Gorontalo,0.17570606193272223,0.23752857886910242,0.17831906691069951,0.17477874770182839,0.2336675445856473,Kemiskinan
Gorontalo Utara,0.1801069534918186,0.23007416996639282,0.17761471847503554,0.1917918185612017,0.22041233950555117,Kemiskinan
Gowa,0.13609475290773598,0.2242198988125232,0.19413780360279956,0.23242143709644017,0.21312610758050093,Pangan Hewani
Gresik,0.10330824899800183,0.22322945581119358,0.1951024863681408,0.21278657827091108,0.2655732305517526,RLS
Grobogan,0.10246233632862126,0.22095523959549018,0.19758654533538914,0.20102194131911852,0.27797393742138066,RLS
Gunung Mas,0.2081474630235356,0.21029570544740206,0.21545021721842517,0.18886756853757505,0.177239045773062,Konsumsi Protein
Gunungkidul,0.10595734129937068,0.2147899014371028,0.20997884897055866,0.20572001797944178,0.26355389031352594,RLS
Halmahera Barat,0.2069212112303942,0.2004550963963555,0.18523713239860792,0.18314679796159059,0.22423976201305162,RLS
Halmahera Selatan,0.22711083175255936,0.19826456219992017,0.1698464637963295,0.17593010049684843,0.2288480417543423,RLS
Halmahera Timur,0.22066694725550937,0.19105966133111207,0.1795845526760915,0.17832315579211797,0.2303656829451689,RLS
Halmahera Utara,0.20559753680149764,0.1999743865759028,0.18274160342833182,0.17714393487595542,0.23454253831831215,RLS
Hulu Sungai Selatan,0.16932848161871317,0.24099001644829718,0.20266709090256854,0.19915128817551786,0.18786312285490311,Kemiskinan
Hulu Sungai Tengah,0.18882233017181335,0.22412546143035458,0.19371638889218457,0.20840137170619338,0.184934447799454,Kemiskinan
Humbang Hasundutan,0.18104053035443185,0.22566118950937467,0.19807929901587626,0.19815603109677257,0.19706295002354454,Kemiskinan
Indragiri Hulu,0.2119857467688264,0.1966428038275283,0.1760274213710603,0.18834002060841526,0.22700400742416957,RLS
Indramayu,0.1831588200150259,0.1980555173640384,0.18272547049165772,0.20581878204407078,0.2302414100852071,RLS
Jember,0.12828394258307793,0.23131510715293965,0.21496970326496012,0.20029881066313074,0.22513243633589136,Kemiskinan
Jembrana,0.1463586469673607,0.2346766546146576,0.21870806787228514,0.20744002025640326,0.19281661028929314,Kemiskinan
Jeneponto,0.15034860894121443,0.24767590683532548,0.19500178058034956,0.2276389543377542,0.1793347493053562,Kemiskinan
Jombang,0.10434559123128401,0.2279004722874851,0.2105160342224841,0.20770349190436707,0.24953441035437957,RLS
Kaimana,0.17293597501364028,0.17283711462986176,0.1670842648408509,0.2674147872986351,0.2197278582170118,Pangan Hewani
Karangasem,0.2068689715263724,0.2490412779946182,0.18833957480943953,0.18787386561381142,0.16787631005575823,Kemiskinan
Karawang,0.18200930321373127,0.1780796571687289,0.18874880220817647,0.20744907464529408,0.2437131627640691,RLS
Karimun,0.1850566451654056,0.17372131986986503,0.18507644331826043,0.21675277259298995,0.23939281905347887,RLS
Kaur,0.17884889304254656,0.19243369269866295,0.20042997455926773,0.18793439050892943,0.2403530491905932,RLS
Kayong Utara,0.1898392250286727,0.15723692321827076,0.20752688141739944,0.22681917339303215,0.2185777969426248,Pangan Hewani
Kebumen,0.11131285367099293,0.23444527056766637,0.18691881155719145,0.21268343751944738,0.25463962668470175,RLS
Kediri,0.10805937011217435,0.22749010177187412,0.1970971175187909,0.22324209439321033,0.24411131620395013,RLS
Kendal,0.09377495056817728,0.21549272574202397,0.21532659446592733,0.2075823934729898,0.26782333575088146,RLS
Kep. Siau Tagulandang Biaro,0.19363583597429035,0.1963581770119466,0.18372486837123303,0.19046241130910457,0.2358187073334252,RLS
Kepulauan Anambas,0.19292803122909596,0.1484220235626126,0.18222385239055244,0.20582360286289203,0.27060248995484676,RLS
Kepulauan Aru,0.14921569382062563,0.18419170209022453,0.14524437593554532,0.2834873623340326,0.2378608658195718,Pangan Hewani
Kepulauan Mentawai,0.19105191056350918,0.20029059981272201,0.17964380118862452,0.20642777923831168,0.22258590919683247,RLS
Kepulauan Meranti,0.15782024610430023,0.18181721404354093,0.18764237607259215,0.2329960924297465,0.23972407134982004,RLS
Kepulauan Sangihe,0.19850552901930435,0.19443723911185154,0.1862454322364936,0.1858999241898226,0.23491187544252773,RLS
Kepulauan Selayar,0.14114464633322577,0.2553445301152941,0.17352278452009973,0.224700895720048,0.20528714331133222,Kemiskinan
Kepulauan Talaud,0.20426883307684235,0.19066197975831295,0.1881406468875696,0.19139992817159612,0.22552861210567887,RLS
Kepulauan Tanimbar,0.14594004894270735,0.14869792883511523,0.13692548758055914,0.3192248860460329,0.24921164859558528,Pangan Hewani
Kepulauan Yapen,0.17626521461688766,0.2003632166788048,0.17869163673168395,0.23634005446054904,0.20833987751207442,Pangan Hewani
Ketapang,0.19536856475702527,0.18944438138034755,0.21386829885460004,0.210866969808412,0.19045178519961492,Konsumsi Protein
Klaten,0.10463635328335151,0.2291201741567129,0.19443875171891356,0.20940816814820576,0.2623965526928161,RLS
Klungkung,0.20106701425651552,0.24959779991820627,0.1856633065201373,0.19700201250992033,0.16666986679522042,Kemiskinan
Kolaka,0.17480633084672292,0.20827784832015217,0.2023195510018064,0.22644692486449916,0.18814934496681923,Pangan Hewani
Kolaka Timur,0.1664761746476004,0.21365199712367067,0.20073323295773904,0.2226648767150895,0.19647371855590023,Pangan Hewani
Konawe,0.16830647631483642,0.21162830835523366,0.19546276524251938,0.22563556043257574,0.19896688965483467,Pangan Hewani
Konawe Kepulauan,0.18854716157206838,0.20399349186873147,0.18870948412227478,0.21589140033830526,0.20285846209861993,Pangan Hewani
Konawe Utara,0.17651612830806854,0.22961072548252195,0.18582384542922004,0.21683268591583515,0.1912166148643542,Kemiskinan
Kota Adm. Jakarta Barat,0.19107719344729754,0.17369901444641364,0.18084094376199322,0.20555277518141513,0.24883007316288028,RLS
Kota Adm. Jakarta Pusat,0.17989127206394473,0.16796416050094043,0.1853368771733442,0.2087098436600329,0.2580978466017376,RLS
Kota Adm. Jakarta Selatan,0.16383613234806443,0.1810244526038222,0.1859625166968827,0.21629353230682963,0.25288336604440087,RLS
Kota Adm. Jakarta Timur,0.1625951554928984,0.17627677437931732,0.18951675995473502,0.21301863246319058,0.2585926777098585,RLS
Kota Adm. Jakarta Utara,0.17820694254583663,0.17412933904096423,0.19360401676547068,0.20726045789430578,0.2467992437534226,RLS
Kota Ambon,0.17551087984283453,0.1828777849321159,0.1590047068689754,0.2676798159044076,0.21492681245166645,Pangan Hewani
Kota Balikpapan,0.16445669963242743,0.2384789813610301,0.18588935616016009,0.2274342563885402,0.18374070645784202,Kemiskinan
Kota Banda Aceh,0.18717706730357567,0.24329992068950812,0.17973494708696147,0.1844750749200085,0.20531298999994604,Kemiskinan
Kota Bandar Lampung,0.17517317874556573,0.1750376644743796,0.187829302639071,0.2075878111912411,0.2543720429497424,RLS
Kota Bandung,0.18902969042336462,0.1896313333047613,0.19589178890500025,0.21551376290440832,0.2099334244624654,Pangan Hewani
Kota Banjar,0.16014815025676737,0.20770855785263823,0.19364122911453965,0.2074975248950747,0.23100453788097985,RLS
Kota Banjarbaru,0.17961626615961365,0.26158547694475537,0.1715205555087276,0.18303874514509183,0.20423895624181138,Kemiskinan
Kota Banjarmasin,0.18358957340793483,0.25652136144812193,0.1704469476754901,0.18029718372737,0.209144933741083,Kemiskinan
Kota Batam,0.20385091146528644,0.1825039665973095,0.18535402112588434,0.1921495999204027,0.23614150089111682,RLS
Kota Batu,0.11042531453645205,0.23282113070053642,0.20432031462983039,0.20922095299562285,0.24321228713755813,RLS
Kota Bau Bau,0.1623696200603782,0.23065466793251765,0.1755962495696637,0.2308086125194223,0.2005708499180179,Pangan Hewani
Kota Bekasi,0.1631938970454906,0.18496228895417618,0.18684467142886751,0.21543556003377237,0.2495635825376932,RLS
Kota Bengkulu,0.1871683726539205,0.19521420845044957,0.19272595761179856,0.19119404810829427,0.23369741317553702,RLS
Kota Bima,0.1724814892749961,0.29611425515898193,0.16849620129767262,0.19872635698648933,0.16418169728185988,Kemiskinan
Kota Binjai,0.1761704332740381,0.24047151906085787,0.17901915405935534,0.20034225082726265,0.2039966427784859,Kemiskinan
Kota Bitung,0.1948803102517011,0.19524446491450476,0.185772063028809,0.1914005323570015,0.23270262944798345,RLS
Kota Blitar,0.11329646394934177,0.22465987742414642,0.20146127712336362,0.20212102233984908,0.25846135916329893,RLS
Kota Bogor,0.16460939959163287,0.18773027714160062,0.18448060453011733,0.21514671125359308,0.2480330074830559,RLS
Kota Bontang,0.15877112439733151,0.2183158925135288,0.18448535226742907,0.2355218495741096,0.20290578124760084,Pangan Hewani
Kota Bukittinggi,0.19602364161787522,0.20626171287639972,0.18126720249007977,0.20356228393100112,0.212885159084644,RLS
Kota Cilegon,0.15709272642918984,0.18106885813560483,0.19037888142014664,0.19928684144308886,0.27217269257196963,RLS
Kota Cimahi,0.1818517181754014,0.1869347772566636,0.1898547256474949,0.2195447455720986,0.22181403334834135,RLS
Kota Cirebon,0.17647013026427494,0.18040657114549255,0.20661713225122924,0.21975003699889314,0.21675612934011002,Pangan Hewani
Kota Depok,0.15930003330362383,0.18478237576453252,0.2011265174958978,0.22049592496128256,0.2342951484746631,RLS
Kota Dumai,0.17886828079541725,0.19495885361857718,0.18784035530795087,0.21981375421391208,0.21851875606414248,Pangan Hewani
Kota Gorontalo,0.18324435946803336,0.21368428580606355,0.18893074223172485,0.19762659012930164,0.21651402236487646,RLS
Kota Gunungsitoli,0.17410551715922293,0.2531258450797346,0.1772107835813071,0.20325495771430305,0.19230289646543217,Kemiskinan
Kota Jambi,0.20400955129647222,0.20010803436802443,0.1867565823413512,0.17731005921358678,0.23181577278056517,RLS
Kota Jayapura,0.17828379546341255,0.20676451511298086,0.18636525500656445,0.23719851936399294,0.19138791505304903,Pangan Hewani
Kota Kediri,0.1183346670456962,0.22535566997298698,0.1896004110979297,0.20894572375067927,0.2577635281327077,RLS
Kota Kendari,0.1720023839331305,0.21861433757205226,0.19473418812476448,0.21999678965962652,0.19465230071042616,Pangan Hewani
Kota Kotamobagu,0.19173181548287832,0.21885826335522687,0.17994110434882093,0.18139271553425912,0.22807610127881459,RLS
Kota Kupang,0.13463180559635296,0.2154788871929163,0.1452174821928033,0.30303024184142546,0.20164158317650177,Pangan Hewani
Kota Langsa,0.1890167799168237,0.24942868302711751,0.1790521534847719,0.19374653395401836,0.18875584961726835,Kemiskinan
Kota Lhokseumawe,0.18489602222467033,0.23690264793410235,0.19119542769698375,0.19194692433541774,0.19505897780882567,Kemiskinan
Kota Lubuk Linggau,0.17900260134873874,0.19961713987454807,0.17844363552744996,0.22004456696800417,0.22289205628125888,RLS
Kota Madiun,0.11112530910204299,0.22753199994318127,0.1892386424023015,0.19336385328585315,0.27874019526662086,RLS
