kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,Melahirkan Tidak di Faskes,Kemiskinan,Konsumsi Protein,Pangan Hewani,RLS,faktor_dominan
Simeulue,Aceh,18.4,0.08,17.69,53.1,49.38,9.89,96.08623173507992,2.6128618719394243,0.177909163771324,0.2543243829055265,0.1823709390906372,0.1928861671597916,0.1925093470727204,Kemiskinan
Aceh Singkil,Aceh,23.6,0.18,19.06,61.5,56.59,8.72,97.8450711416352,2.3479856909639154,0.1832248967498753,0.2297533069454974,0.1837806044531608,0.2056170120587434,0.1976241797927227,Kemiskinan
Aceh Selatan,Aceh,28.1,0.04,12.02,57.8,51.63,8.92,97.43645538193392,3.162014322475823,0.1816766598606472,0.2265391527553736,0.1953820644397642,0.1964976851293731,0.1999044378148415,Kemiskinan
Aceh Tenggara,Aceh,22.8,0.16,11.99,62.3,49.52,10.1,97.6975862650565,3.368996786453805,0.1839658385252606,0.2359194492891518,0.1836169837860096,0.1924482253208259,0.2040495030787517,Kemiskinan
Aceh Timur,Aceh,28.0,0.14,13.26,58.7,52.3,8.48,97.62609089939502,4.6305590803259005,0.1917502454357764,0.2487147128759453,0.1722001755080426,0.1817630840200578,0.2055717821601774,Kemiskinan
Aceh Tengah,Aceh,21.6,0.09,14.27,62.1,43.48,10.03,96.8812588942553,4.51995591055065,0.1706539114463596,0.2567927964567496,0.187889293712374,0.195385745068012,0.1892782533165046,Kemiskinan
Aceh Barat,Aceh,20.2,0.0,17.6,63.7,56.09,9.99,96.18088578532738,4.454513742896919,0.1777921238389943,0.2515658026971871,0.1820479514644159,0.1875391591815921,0.2010549628178102,Kemiskinan
Aceh Besar,Aceh,26.8,0.01,13.21,61.5,54.4,10.37,95.51515076080264,5.380157563413453,0.1855103350515903,0.2446323721034292,0.1837193091605077,0.1907133510455661,0.1954246326389064,Kemiskinan
Pidie,Aceh,26.4,0.0,18.59,55.0,43.36,9.04,96.0333848601126,5.053666108073628,0.1824017100210938,0.2563484322347968,0.1735873849591757,0.1848917918495162,0.2027706809354173,Kemiskinan
Bireuen,Aceh,21.8,0.05,12.1,57.6,51.55,9.59,96.60704146541488,5.093843082938084,0.1852500826276797,0.2525542118166645,0.1766719176108815,0.185696737017283,0.1998270509274909,Kemiskinan
Aceh Utara,Aceh,14.9,0.08,16.11,50.9,46.59,9.11,97.18180452464765,5.015804394192149,0.1833846234457844,0.2500040812996112,0.177569757140608,0.1891240945439976,0.1999174435699984,Kemiskinan
Gayo Lues,Aceh,14.8,0.41,18.3,78.0,53.98,8.44,97.3600690802808,3.982731591441018,0.1728529313081737,0.2575669417804039,0.1749227775966221,0.192700112074142,0.201957237240658,Kemiskinan
Aceh Tamiang,Aceh,22.7,0.25,12.17,60.5,53.82,9.3,97.98300459846512,4.224537757444703,0.1881881645424217,0.2443587092375012,0.1799871657770308,0.1857932577632733,0.2016727026797726,Kemiskinan
Nagan Raya,Aceh,24.9,0.07,16.94,91.1,85.75,9.25,96.50769037366469,4.164313984119018,0.18374702932812,0.2454458946165536,0.1862812436422598,0.1809048243132626,0.2036210080998036,Kemiskinan
Aceh Jaya,Aceh,23.3,0.0,12.25,68.6,57.57,9.02,95.6780519211837,4.832514527082648,0.1801449562571069,0.2642265779091903,0.1763758695352622,0.1835758364170411,0.1956767598813993,Kemiskinan
Bener Meriah,Aceh,22.1,0.17,18.18,77.3,62.4,10.13,97.00410824156492,4.770070482451579,0.1826405779586711,0.2407422402343449,0.1875239352586612,0.1995783995058533,0.1895148470424691,Kemiskinan
